review_id,rating_x,entity_text,entity_label,entity_description,sentiment_label,sentiment_score,rating_y
0,2,Chrono Cross,ORG,"Companies, agencies, institutions, etc.",Positive,0.5555555555555555,2
1,2,Yasunori Mitsuda's,PERSON,"People, including fictional",Positive,1.0,2
1,2,years,DATE,Absolute or relative dates or periods,Positive,1.0,2
1,2,every penny,MONEY,"Monetary values, including unit",Positive,1.0,2
2,2,Prisoners of Fate,WORK_OF_ART,"Titles of books, songs, etc.",Positive,0.5275590551181102,2
2,2,A Distant Promise,WORK_OF_ART,"Titles of books, songs, etc.",Positive,0.5275590551181102,2
2,2,Chrono Cross,WORK_OF_ART,"Titles of books, songs, etc.",Positive,0.5275590551181102,2
2,2,Time,ORG,"Companies, agencies, institutions, etc.",Positive,0.5275590551181102,2
2,2,Scar~,ORG,"Companies, agencies, institutions, etc.",Positive,0.5275590551181102,2
2,2,Chronomantique,PERSON,"People, including fictional",Positive,0.5275590551181102,2
2,2,Chrono Trigger,PERSON,"People, including fictional",Positive,0.5275590551181102,2
2,2,Xenogears,DATE,Absolute or relative dates or periods,Positive,0.5275590551181102,2
2,2,6,CARDINAL,Numerals that do not fall under another type,Positive,0.5275590551181102,2
3,2,Scars Of Time,FAC,"Buildings, airports, highways, bridges, etc.",Positive,1.0,2
3,2,"Between Life and Death, Forest Of Illusion, Fortress of Ancient Dragons",ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
3,2,Drowned Valley,ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
3,2,Two,CARDINAL,Numerals that do not fall under another type,Positive,1.0,2
3,2,Galdorb - Home,ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
3,2,Chronomantique,PERSON,"People, including fictional",Positive,1.0,2
3,2,Gale,PERSON,"People, including fictional",Positive,1.0,2
3,2,ZelbessDisk,ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
3,2,Three,CARDINAL,Numerals that do not fall under another type,Positive,1.0,2
3,2,three,CARDINAL,Numerals that do not fall under another type,Positive,1.0,2
3,2,Chronopolis,GPE,"Countries, cities, states",Positive,1.0,2
3,2,Fates,GPE,"Countries, cities, states",Positive,1.0,2
3,2,Jellyfish,NORP,Nationalities or religious or political groups,Positive,1.0,2
3,2,Burning Orphange,ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
3,2,"Dragon's Prayer, Tower Of Stars",ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
3,2,Radical Dreamers - Unstealable Jewel,ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
3,2,Xander Cross,PERSON,"People, including fictional",Positive,1.0,2
4,2,Chrono Cross,ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
4,2,Time,ORG,"Companies, agencies, institutions, etc.",Positive,1.0,2
4,2,Sea,LOC,"Non-GPE locations, mountain ranges, bodies of water",Positive,1.0,2
4,2,Yasunori Mitsuda,PERSON,"People, including fictional",Positive,1.0,2
5,2,Mitsuda,PERSON,"People, including fictional",Positive,0.34747145187601947,2
5,2,every single minute,TIME,Times smaller than a day,Positive,0.34747145187601947,2
5,2,3,CARDINAL,Numerals that do not fall under another type,Positive,0.34747145187601947,2
5,2,Dancing the Tokage or Termina Home,WORK_OF_ART,"Titles of books, songs, etc.",Positive,0.34747145187601947,2
5,2,Time,ORG,"Companies, agencies, institutions, etc.",Positive,0.34747145187601947,2
5,2,Mitsuda,PERSON,"People, including fictional",Positive,0.34747145187601947,2
6,1,5,CARDINAL,Numerals that do not fall under another type,Negative,-0.39664804469273746,1
6,1,Haddon,PERSON,"People, including fictional",Negative,-0.39664804469273746,1
6,1,an evening,TIME,Times smaller than a day,Negative,-0.39664804469273746,1
6,1,Amazon,ORG,"Companies, agencies, institutions, etc.",Negative,-0.39664804469273746,1
6,1,8th,CARDINAL,Numerals that do not fall under another type,Negative,-0.39664804469273746,1
6,1,Haddon,PERSON,"People, including fictional",Negative,-0.39664804469273746,1
7,2,normaly,GPE,"Countries, cities, states",Positive,0.36842105263157887,2
8,2,FIVE,CARDINAL,Numerals that do not fall under another type,Positive,0.6078431372549019,2
8,2,Whisper of the Wicked,ORG,"Companies, agencies, institutions, etc.",Positive,0.6078431372549019,2
8,2,one,CARDINAL,Numerals that do not fall under another type,Positive,0.6078431372549019,2
8,2,Julia,ORG,"Companies, agencies, institutions, etc.",Positive,0.6078431372549019,2
11,2,night,TIME,Times smaller than a day,Positive,0.42028985507246375,2
13,1,first,ORDINAL,"""first"", ""second"", etc.",Positive,0.33333333333333326,1
13,1,10.95,MONEY,"Monetary values, including unit",Positive,0.33333333333333326,1
14,1,7th,ORDINAL,"""first"", ""second"", etc.",Negative,-0.391304347826087,1
14,1,at least one,CARDINAL,Numerals that do not fall under another type,Negative,-0.391304347826087,1
