review_id,rating,entity_text,entity_label,entity_description
0,2,Chrono Cross,ORG,"Companies, agencies, institutions, etc."
1,2,Yasunori Mitsuda's,PERSON,"People, including fictional"
1,2,years,DATE,Absolute or relative dates or periods
1,2,every penny,MONEY,"Monetary values, including unit"
2,2,Prisoners of Fate,WORK_OF_ART,"Titles of books, songs, etc."
2,2,A Distant Promise,WORK_OF_ART,"Titles of books, songs, etc."
2,2,Chrono Cross,WORK_OF_ART,"Titles of books, songs, etc."
2,2,Time,ORG,"Companies, agencies, institutions, etc."
2,2,Scar~,ORG,"Companies, agencies, institutions, etc."
2,2,Chronomantique,PERSON,"People, including fictional"
2,2,Chrono Trigger,PERSON,"People, including fictional"
2,2,Xenogears,DATE,Absolute or relative dates or periods
2,2,6,CARDINAL,Numerals that do not fall under another type
3,2,Scars Of Time,FAC,"Buildings, airports, highways, bridges, etc."
3,2,"Between Life and Death, Forest Of Illusion, Fortress of Ancient Dragons",ORG,"Companies, agencies, institutions, etc."
3,2,Drowned Valley,ORG,"Companies, agencies, institutions, etc."
3,2,Two,CARDINAL,Numerals that do not fall under another type
3,2,Galdorb - Home,ORG,"Companies, agencies, institutions, etc."
3,2,Chronomantique,PERSON,"People, including fictional"
3,2,Gale,PERSON,"People, including fictional"
3,2,ZelbessDisk,ORG,"Companies, agencies, institutions, etc."
3,2,Three,CARDINAL,Numerals that do not fall under another type
3,2,three,CARDINAL,Numerals that do not fall under another type
3,2,Chronopolis,GPE,"Countries, cities, states"
3,2,Fates,GPE,"Countries, cities, states"
3,2,Jellyfish,NORP,Nationalities or religious or political groups
3,2,Burning Orphange,ORG,"Companies, agencies, institutions, etc."
3,2,"Dragon's Prayer, Tower Of Stars",ORG,"Companies, agencies, institutions, etc."
3,2,Radical Dreamers - Unstealable Jewel,ORG,"Companies, agencies, institutions, etc."
3,2,Xander Cross,PERSON,"People, including fictional"
4,2,Chrono Cross,ORG,"Companies, agencies, institutions, etc."
4,2,Time,ORG,"Companies, agencies, institutions, etc."
4,2,Sea,LOC,"Non-GPE locations, mountain ranges, bodies of water"
4,2,Yasunori Mitsuda,PERSON,"People, including fictional"
5,2,Mitsuda,PERSON,"People, including fictional"
5,2,every single minute,TIME,Times smaller than a day
5,2,3,CARDINAL,Numerals that do not fall under another type
5,2,Dancing the Tokage or Termina Home,WORK_OF_ART,"Titles of books, songs, etc."
5,2,Time,ORG,"Companies, agencies, institutions, etc."
5,2,Mitsuda,PERSON,"People, including fictional"
6,1,5,CARDINAL,Numerals that do not fall under another type
6,1,Haddon,PERSON,"People, including fictional"
6,1,an evening,TIME,Times smaller than a day
6,1,Amazon,ORG,"Companies, agencies, institutions, etc."
6,1,8th,CARDINAL,Numerals that do not fall under another type
6,1,Haddon,PERSON,"People, including fictional"
7,2,normaly,GPE,"Countries, cities, states"
8,2,FIVE,CARDINAL,Numerals that do not fall under another type
8,2,Whisper of the Wicked,ORG,"Companies, agencies, institutions, etc."
8,2,one,CARDINAL,Numerals that do not fall under another type
8,2,Julia,ORG,"Companies, agencies, institutions, etc."
11,2,night,TIME,Times smaller than a day
13,1,first,ORDINAL,"""first"", ""second"", etc."
13,1,10.95,MONEY,"Monetary values, including unit"
14,1,7th,ORDINAL,"""first"", ""second"", etc."
14,1,at least one,CARDINAL,Numerals that do not fall under another type
15,1,Veronica Haddon,ORG,"Companies, agencies, institutions, etc."
16,2,BY THE SEA,WORK_OF_ART,"Titles of books, songs, etc."
16,2,Cuban,NORP,Nationalities or religious or political groups
16,2,three,CARDINAL,Numerals that do not fall under another type
16,2,Italian,NORP,Nationalities or religious or political groups
16,2,SEA,ORG,"Companies, agencies, institutions, etc."
16,2,4,CARDINAL,Numerals that do not fall under another type
17,2,Jobst UltraSheer,PERSON,"People, including fictional"
17,2,15-20,CARDINAL,Numerals that do not fall under another type
17,2,4 years,DATE,Absolute or relative dates or periods
17,2,Jobst,LOC,"Non-GPE locations, mountain ranges, bodies of water"
17,2,all day,DATE,Absolute or relative dates or periods
18,2,a full day,DATE,Absolute or relative dates or periods
18,2,two,CARDINAL,Numerals that do not fall under another type
20,1,20-30,CARDINAL,Numerals that do not fall under another type
